station,total_borrow,peak_ratio,weekend_ratio,morning_net_flow_mean,evening_net_flow_mean,morning_net_flow_sum,evening_net_flow_sum,volatility,station_type,imbalance_score,risk_level,dispatch_strategy
樹林大安站,0.0,0.0,0.0,,,0.0,0.0,,穩定休閒型,0.0,Low,常規運營監控
樹林工業區,0.0,0.0,0.0,,-1.5,0.0,-6.0,0.0,穩定休閒型,6.0,Low,常規運營監控
樹林火車站(後站),0.0,0.0,0.0,,-1.0,0.0,-2.0,0.0,穩定休閒型,2.0,Low,常規運營監控
樹林藝文綜合行政大樓,0.0,0.0,0.0,,-1.0,0.0,-2.0,0.0,穩定休閒型,2.0,Low,常規運營監控
樹林藝文綜合行政大樓停車場,0.0,0.0,0.0,,-1.0,0.0,-1.0,0.0,穩定休閒型,1.0,Low,常規運營監控
橋東里(忠孝東路),0.0,0.0,0.0,,-1.0,0.0,-2.0,0.0,穩定休閒型,2.0,Low,常規運營監控
正和中正路口,0.0,0.0,0.0,,-1.2,0.0,-6.0,0.0,穩定休閒型,6.0,Low,常規運營監控
正守公園,2476.0,0.4676898222940226,0.33481421647819065,3.682926829268293,-3.294642857142857,302.0,-369.0,3.326928111519357,潮汐流出型,671.0,High,早高峰前提前補車
正德國中,0.0,0.0,0.0,,-2.5,0.0,-5.0,0.0,穩定休閒型,5.0,Low,常規運營監控
正義公園,0.0,0.0,0.0,-1.0,-1.1,-2.0,-22.0,0.0,穩定休閒型,24.0,Low,常規運營監控
正義國小地下停車場,0.0,0.0,0.0,,-1.1428571428571428,0.0,-8.0,0.0,穩定休閒型,8.0,Low,常規運營監控
歸綏戲曲公園,4597.0,0.49118990646073524,0.30106591255166415,0.9302325581395349,-1.0089285714285714,80.0,-113.0,5.487428507974338,穩定休閒型,193.0,Medium,定時監控與小規模調度
民享藝文特區,0.0,0.0,0.0,-2.0,-1.1904761904761905,-2.0,-25.0,0.0,穩定休閒型,27.0,Low,常規運營監控
民善新湖二路口(家樂福內湖店,1722.0,0.5150987224157956,0.289198606271777,-6.938271604938271,2.936936936936937,-562.0,326.0,3.797898123761351,潮汐流入型,888.0,High,高峰前提前清空車位
民安國小(東側),0.0,0.0,0.0,-1.0,,-1.0,0.0,0.0,穩定休閒型,1.0,Low,常規運營監控
民安東民全街口,0.0,0.0,0.0,,,0.0,0.0,0.0,穩定休閒型,0.0,Low,常規運營監控
民安西路252巷,0.0,0.0,0.0,,,0.0,0.0,,穩定休閒型,0.0,Low,常規運營監控
民德立體停車場,0.0,0.0,0.0,,-1.0,0.0,-6.0,0.0,穩定休閒型,6.0,Low,常規運營監控
民德路口,0.0,0.0,0.0,,-1.0,0.0,-5.0,0.0,穩定休閒型,5.0,Low,常規運營監控
民族二街明峰街口,0.0,0.0,0.0,-1.625,-1.631578947368421,-26.0,-93.0,0.0,穩定休閒型,119.0,Low,常規運營監控
民族延平路口,4723.0,0.5312301503281812,0.3430023290281601,8.071428571428571,-8.142857142857142,678.0,-912.0,6.484551733154193,潮汐流出型,1590.0,High,早高峰前提前補車
民族松江路口,1334.0,0.44302848575712145,0.39730134932533734,-1.3855421686746987,0.38095238095238093,-115.0,40.0,2.33878070199121,穩定休閒型,155.0,Medium,定時監控與小規模調度
民族林森路口,2174.0,0.4921803127874885,0.3376264949402024,-0.6904761904761905,0.7747747747747747,-58.0,86.0,3.3971507261641496,穩定休閒型,144.0,Medium,定時監控與小規模調度
民族玉門街口,2006.0,0.48504486540378866,0.353938185443669,-1.951219512195122,2.0825688073394497,-160.0,227.0,3.550131928313012,潮汐流入型,387.0,Medium,定時監控與小規模調度
民族路225巷,0.0,0.0,0.0,-1.0,-1.0,-7.0,-5.0,0.0,穩定休閒型,12.0,Low,常規運營監控
民族路257巷/民族路327巷,0.0,0.0,0.0,,-1.0,0.0,-1.0,0.0,穩定休閒型,1.0,Low,常規運營監控
民族路314巷口,0.0,0.0,0.0,,-1.2,0.0,-6.0,0.0,穩定休閒型,6.0,Low,常規運營監控
民族路33巷,0.0,0.0,0.0,-1.0,-1.25,-5.0,-10.0,0.0,穩定休閒型,15.0,Low,常規運營監控
民有一號公園,7759.0,0.5151437040855781,0.28611934527645316,-2.130952380952381,1.3539823008849559,-179.0,153.0,10.265236295350945,潮汐流入型,332.0,Medium,定時監控與小規模調度
